days since origination,days from origination to chargeoff
109,
679,
723,
509,
254,
158,
302,
143,
354,
438,
675,
336,
51,
117,
327,78
400,390
721,362
562,
101,
52,
274,
392,
472,
580,
13,
184,
410,48
448,
1,
660,
523,
329,
700,
600,
143,
139,
151,
238,
159,
393,
235,
592,
449,
10,
611,
361,
212,
4,
20,
377,
387,
65,
6,
553,
249,
273,
110,
313,
323,
661,
251,
649,412
554,
41,
496,
517,
181,
653,357
356,
501,
345,
96,
584,
151,
534,
182,109
455,
122,
38,
655,
501,
309,
128,5
165,
597,
436,
73,
728,497
453,
624,
721,
538,
569,
348,
36,
312,
41,
553,189
78,
144,
668,
366,
123,
106,
676,
495,
126,
49,
202,
571,
248,
375,
583,
326,
1,
242,
10,
331,
51,
332,
212,
72,
581,
104,
666,
277,
302,274
332,
693,
561,
375,
27,
92,
172,
285,
162,
422,
116,
566,
68,
279,
596,
193,
692,
24,
176,
339,
417,
167,
142,
648,403
31,
21,
705,
512,
291,
298,
467,
636,
465,404
290,
515,
426,
192,
534,
207,
160,
663,
172,
477,
58,
574,
286,
322,32
602,
553,
690,
83,
562,
430,236
700,
588,
285,
127,
278,
295,
101,
221,
645,
477,
514,
34,
429,
110,
604,
573,
73,
138,
376,44
523,
446,
205,
654,
565,
299,
539,
444,
582,
320,
374,
288,
334,
515,
671,
539,
431,
526,
702,
14,
596,
690,
627,
433,
227,
262,
577,
729,
182,
503,
257,
110,
36,
39,
605,56
566,
443,
95,
261,
599,
506,
687,
123,
55,
44,
678,
212,
121,
624,
477,84
102,
719,
349,
558,
237,
16,
429,38
277,
372,
323,
244,
360,
340,222
609,
144,
490,
575,
128,
230,
440,
264,
475,
14,
468,
148,
469,
22,
501,
713,
203,
111,
184,
152,
217,
655,
616,
576,
294,
224,
562,
14,
672,
665,
247,
498,
594,
357,
730,725
11,
436,
702,
584,
515,
171,
281,
18,
122,
398,98
502,464
195,
649,608
660,
412,145
66,
478,
638,
303,
58,
47,
415,
132,
377,
404,147
642,
460,
299,
286,
231,
33,
214,
707,
105,
509,
587,389
214,
662,
155,
403,
10,
352,
630,
495,
424,
417,
482,312
355,
523,158
384,
438,
331,
261,
314,
402,
432,
489,
650,
462,
438,
92,
673,
271,
177,
523,
712,
61,
685,
504,
622,
662,
678,
694,
118,
154,
573,
318,
625,
672,
148,
637,
301,
484,
266,
310,
714,
289,
538,
121,
711,
500,
265,
435,
77,
674,
244,
259,
173,
626,
698,
728,
195,
529,
396,
16,
438,142
171,
392,
730,
659,
330,
702,
543,31
430,385
609,
140,
314,
605,
439,
49,
723,
175,
246,
435,
319,
322,
375,
487,
292,
279,
522,
297,
693,
687,
296,
728,
577,
91,
46,
227,
653,
447,
401,
276,
702,
701,
280,
457,
267,
251,
402,
85,
633,
126,
236,
559,
692,196
699,
383,
144,
484,463
303,
665,
231,
148,
164,
465,
24,
195,
83,
268,
428,
155,
504,
595,
450,
262,
68,
127,
403,
306,
140,
484,
378,
6,
217,
648,
205,
137,
58,
295,
22,
45,
413,
340,
598,
300,
602,
44,
727,
98,
632,
726,
361,
565,
189,
80,
338,
723,
327,
563,
21,
351,
684,
480,
252,
599,
285,
596,
303,
398,
166,
651,
99,
433,
653,
716,
714,83
352,
335,
531,
528,290
122,
302,76
553,
220,
80,
295,
664,489
541,
540,
458,
713,
564,30
15,
599,
446,
656,
449,
54,
208,
488,
644,
697,
171,
425,
610,
456,
21,
343,
422,
313,
70,
37,
598,
596,
175,
237,
601,
447,
158,
685,
298,
529,
323,
148,
456,
466,
324,
652,
282,
423,
108,
344,
617,
193,
25,2
214,
128,
448,
211,154
244,
326,
369,
208,
247,
416,
697,
727,
254,
29,
664,
53,
264,
228,
184,
392,
693,
549,
46,
